date,MAI3,dMAI3
1994-02-04,-0.6259597126272253,
1994-03-22,-0.9586453213912303,-0.38365995487990134
1994-05-17,-0.10872896432775954,0.4647623436069081
1994-07-06,-0.5498114010461612,-0.08558885519979137
1994-08-16,0.9429686978678345,1.2440242094762
1994-09-27,0.6459835241330925,0.9577104748709303
1994-11-15,-0.328156447226861,0.036693541675304975
1994-12-20,0.03575278295038661,-0.019716246946427707
1995-02-01,0.34905729487609855,0.06594261243104682
1995-03-28,-0.9411980080728942,-0.7198910414811338
1995-05-23,-1.2447628626075045,-0.821823715482662
1995-07-06,-0.7203572090930805,-0.6637881990042565
1995-08-22,-1.009745036236723,0.022243778730532737
1995-09-26,-0.7643482099143836,-0.09550655606420311
1995-11-15,-1.1776994928071511,-0.497537214567054
1995-12-19,-0.3277024280175804,0.3912585527931496
1996-01-31,-1.5051785638562138,-0.7500121814733612
1996-03-26,-1.2828699446012524,-0.5401535535072484
1996-05-21,-1.0616020457940243,-0.16172541431217813
1996-07-03,-0.5366835468264992,0.4553162163410258
1996-08-20,-0.4215904556590941,0.16038334437642382
1996-09-24,-0.48549874471291093,-0.3297283758710473
1996-11-13,-1.079052534677535,0.0028869424563042756
1996-12-17,-0.016559215699105085,0.8853886026951464
1997-02-05,-0.758832394502955,-0.12187759207420856
1997-03-25,-0.1677036776124958,0.5147917583319271
1997-05-20,-0.06292559754157045,0.5066667865072487
1997-07-02,-0.5990515490480194,0.40556228633256286
1997-08-19,-0.6963830493585865,0.21067726279680699
1997-09-30,-0.3716556793109001,0.6773528913694933
1997-11-12,-1.350677215048395,-0.9254511073552449
1997-12-16,-1.042537799268727,-0.23160404762147968
1998-02-04,-0.02890867922660682,0.7593715764143735
1998-03-31,-1.0671155227546116,-0.15673978880960737
1998-05-19,-0.34447783806762095,0.21907710018578935
1998-07-01,-1.2889937918343595,-0.38379881631676405
1998-08-18,-0.6489965287752292,-0.04324053948412532
1998-09-29,1.8446728835291664,2.1242702281713832
1998-11-17,-0.7686083349009586,-0.6134790371927259
1998-12-22,-0.343822494362003,0.555938027469657
1999-02-03,0.06983065750813729,0.4810530228876665
1999-03-30,-1.5388522810753107,-0.8998925790610501
1999-05-18,-0.3914500864812107,0.5024760144167173
1999-06-30,-0.17813948854809344,0.1144477012992727
1999-08-24,-0.5725893555548661,-0.21095224120565953
1999-10-05,-0.06265782981907853,0.05523958715052309
1999-11-16,-0.2623617313707599,0.16598717568118604
1999-12-21,-0.5642161717497894,0.0013540697187287565
2000-02-02,0.880114211691844,1.1515750641951472
2000-03-21,0.3538017635215982,0.5892232335257238
2000-05-16,-0.04384288979749886,0.2433460263407792
2000-06-28,0.05618771373962058,0.12263031282585315
2000-08-22,0.35221507559053356,0.3554250558691488
2000-10-03,-1.0269702305632913,-0.47026630337336595
2000-11-15,-0.7770712992725639,-0.01780016271057494
2000-12-19,1.0889614827517244,1.6577540334243437
2001-01-31,1.306541498679468,0.9104967553179606
2001-03-20,0.4002508233982763,0.42442397773263746
2001-05-15,-0.6083200549730085,-0.6021325517803772
2001-06-27,-1.1829047099028625,-0.5485427801878241
2001-08-21,1.1886129004621309,1.7708362510862434
2001-10-02,1.555494666347246,2.054589289168389
2001-11-06,0.390888650190557,0.5166954109555837
2001-12-11,0.3815786726374653,0.7128695472544931
2002-01-30,1.4233121981627865,1.3799688400071726
2002-03-19,0.45319194872072127,0.4612959466989412
2002-05-07,-0.695666872804245,-0.5130710761033588
2002-06-26,-0.7223872420582887,-0.007280222169949058
2002-08-13,0.7998760513323228,0.9108590954984093
2002-09-24,0.23140591130147228,0.40910701667993576
2002-11-06,0.6810407676294662,1.0364809560827106
2002-12-10,0.5548207985210878,0.7030208626847942
2003-01-29,-0.22095656237075714,0.30376139408151426
2003-03-18,-0.29890433321948334,0.10675816322052495
2003-05-06,0.9156009971251052,1.6242669617092402
2003-06-25,1.3952726567626923,0.8213168531397842
2003-08-12,-0.6614327665107699,-0.7849296412438126
2003-09-16,-0.6145747636770406,-0.24113038131466114
2003-10-28,-0.07884193532154571,0.5398380436893709
2003-12-09,0.005747247419929102,0.5336637902702872
2004-01-28,0.09547592063092447,0.07574079926417651
2004-03-16,0.15293333741126447,0.16034371483918416
2004-05-04,1.3143565543102664,0.734061592962253
2004-06-30,1.8335487045043282,1.1182834804318844
2004-08-10,0.4244137649834631,0.26062442330852753
2004-09-21,1.140867464800621,1.512403384534419
2004-11-10,-0.3104604884507682,0.2257580322887665
2004-12-14,0.24930363135858877,0.3656983365805097
2005-02-02,-0.40472002401706225,-0.22852752785553956
2005-03-22,-0.24387066171318925,-0.26579227685333306
2005-05-03,0.5019416956400599,0.1983469744392089
2005-06-30,0.1458525984173543,-0.06308351544429641
2005-08-09,0.20622470541548607,0.16694968265568907
2005-09-20,0.38464383169037,0.20277129469483948
2005-11-01,0.06801812732521632,-0.15624836718248608
2005-12-13,0.14206206034766888,0.2778251810494641
2006-01-31,0.3769947018812541,0.30021849910547743
2006-03-28,-0.7444726081539866,-0.6814280853572495
2006-05-10,-0.24765874659620657,-0.2595467069856773
2006-06-29,0.5052418727244016,-0.08407350003198666
2006-08-08,0.5727838567813974,0.02335899198250857
2006-09-20,-0.1190286642055759,-0.3153963853284206
2006-10-25,-0.26265173222422306,-0.4867819155971414
2006-12-12,0.47962190071169175,0.5353443216536765
2007-01-31,0.049629609988997604,-0.10327072664219664
2007-03-21,-0.05456274523845295,-0.41737155246009
2007-05-09,-0.7453984537827809,-0.5322820554454597
2007-06-28,-0.019451686751353153,-0.00384102280387069
