date,monetary_ni,unemp_v3_ni,monetary_wi,unemp_v3_wi
1980-06-30,1.017864561695056,1.2255920232654756,,
1980-07-31,1.6014641958361933,1.3955616563715396,,
1980-08-31,1.0008517887563886,0.8730834752981261,,
1980-09-30,0.7992388201712654,0.7040913415794481,,
1980-10-31,1.0721715474475917,0.6561049767962874,,
1980-11-30,0.859375,0.44921875,,
1980-12-31,1.3745704467353952,0.6136475208640156,,
1981-01-31,1.3453776667307322,0.768787238131847,,
1981-02-28,1.1149228130360207,0.8147512864493998,,
1981-03-31,1.0817992028847978,0.5883469349022584,,
1981-04-30,1.060070671378092,0.5104043973301924,,
1981-05-31,1.3809182209469153,0.3048780487804878,,
1981-06-30,1.1343804537521816,0.5584642233856894,,
1981-07-31,1.2757973733583492,1.0694183864915574,,
1981-08-31,0.8639308855291578,0.3599712023038157,,
1981-09-30,1.342038447587958,0.7072905331882482,,
1981-10-31,0.8622092077436146,0.7808687164470473,,
1981-11-30,0.8016032064128256,0.918503674014696,,
1981-12-31,1.045172719220549,0.8325952170062002,,
1982-01-31,1.4575645756457565,1.3099630996309963,,
1982-02-28,1.6335367053729581,1.1808699074985238,,
1982-03-31,1.3081102837593077,1.026363453411149,,
1982-04-30,0.825670857571777,0.825670857571777,,
1982-05-31,0.9487319832147417,1.0764459040321108,,
1982-06-30,1.1546469808820747,1.07893242475866,,
1982-07-31,1.0311322625421375,1.0113027959547887,,
1982-08-31,1.3379204892966363,1.2232415902140674,,
1982-09-30,1.0185739964050329,1.3980427401637707,,
1982-10-31,1.2973533990659056,2.33523611831863,,
1982-11-30,1.4509576320371445,2.302186109498936,,
1982-12-31,1.325682627621686,1.5631183221210925,,
1983-01-31,1.6949152542372883,1.5803939532753093,,
1983-02-28,1.717819514429684,1.1223087494273936,,
1983-03-31,0.9976650392697941,1.0188919549989386,,
1983-04-30,0.9597329438764866,0.7719591070310869,,
1983-05-31,0.7672117908338382,0.6662628709872804,,
1983-06-30,1.3622152746761946,0.8485931219294328,,
1983-07-31,1.543666737153732,0.6555297102981603,,
1983-08-31,1.3576674827509456,0.7567326953038058,,
1983-09-30,1.297248937597853,0.6038917468127937,,
1983-10-31,0.7411741759313439,0.5071191730056563,,
1983-11-30,0.7814065317571628,0.5810458825886595,,
1983-12-31,1.169844020797227,1.0181975736568456,,
1984-01-31,1.0666666666666667,0.8410256410256409,1.9752436133789835,1.079799841980511
1984-02-29,1.3977128335451081,0.7835662854722575,2.6013986013986012,1.2587412587412588
1984-03-31,1.1821278300941693,0.5209376878381086,2.3709167544783982,1.2644889357218125
1984-04-30,0.7465618860510806,0.5893909626719058,2.0,1.1294117647058823
1984-05-31,1.4041745730550286,0.5882352941176471,2.409351145038168,0.7633587786259541
1984-06-30,1.217719924417384,0.7558261599832038,2.9187483565606103,0.8677359978963975
1984-07-31,1.2663159945451006,0.6428988895382818,2.6711185308848076,1.4746800222593208
1984-08-31,1.268371250251661,0.5637205556674049,2.543978349120433,1.1096075778078485
1984-09-30,1.246424192889252,0.7151614221495709,1.910043130006161,1.447935921133703
1984-10-31,0.8542348237004727,0.6724827335514358,1.6666666666666667,0.9090909090909092
1984-11-30,1.2459267778416716,0.8242284838029519,2.4567280848687885,1.2562814070351758
1984-12-31,1.3921113689095128,0.6749630879561275,2.5240384615384617,1.3221153846153846
1985-01-31,1.323807522588779,0.7144358058415633,2.055877701634159,0.9488666315234581
1985-02-28,1.1587232181897682,0.5465675557498908,2.1541262135922326,1.395631067961165
1985-03-31,1.1972402597402598,0.6493506493506495,1.8054432767448125,1.1856642414443546
1985-04-30,0.9041980624327235,0.4736275565123789,1.768219832735962,1.2186379928315414
1985-05-31,0.872262066291917,0.3876720294630742,2.3674475955610355,1.627620221948212
1985-06-30,0.8164078056551176,0.33851055356431703,2.1764032073310426,1.202749140893471
1985-07-31,1.052390757263784,0.503317318691375,1.9871106337271751,1.2352309344790546
1985-08-31,0.9863588667366212,0.3147953830010493,1.5969802555168409,0.9581881533101047
1985-09-30,1.1017628205128207,0.4407051282051282,2.391629297458894,1.6442451420029895
1985-10-31,0.923076923076923,0.34615384615384615,2.218741842860872,1.2007308796658835
1985-11-30,0.7100149476831091,0.2615844544095665,1.8669075579644687,0.6925624811803675
1985-12-31,0.9849470358669392,0.33451031406801707,2.2799422799422797,1.1255411255411256
1986-01-31,1.4041745730550286,0.7969639468690701,2.212138400453772,1.2762336925694837
1986-02-28,0.9271779022599962,0.6181186015066641,2.177293934681182,1.4930015552099534
1986-03-31,1.0978956999085088,0.43915827996340345,2.0075647366889733,1.3674716322374163
1986-04-30,0.9224091155724362,0.30746970519081207,2.052334530528476,0.8978963571062082
1986-05-31,0.8425959125134456,0.32269630692004303,1.9068373740125304,1.0623808226641243
1986-06-30,0.9231905465288034,0.4615952732644017,2.20917225950783,1.1465324384787472
1986-07-31,1.2366818873668186,0.7039573820395738,2.284471036170791,1.0606472667935818
1986-08-31,0.9179265658747301,0.3419726421886249,2.4157470921562783,0.9841932597673726
1986-09-30,1.197373503283121,0.6179992275009656,2.160681679853926,1.3998782714546563
1986-10-31,0.6219312602291326,0.3436988543371522,1.5756302521008405,0.9191176470588236
1986-11-30,0.6699879745748153,0.41230029204604024,1.4894250819183796,1.161751563896336
1986-12-31,0.684395776300352,0.33242080563159954,1.4659685863874345,0.8900523560209423
1987-01-31,0.9723842862699339,0.7195643718397511,2.067336089781453,1.3290017720023626
1987-02-28,0.8301275561854627,0.4454342984409799,2.258269720101781,1.11323155216285
