date,monetary_wi,monetary_ni,monetary,unemp_v3_wi,unemp_v3_ni,unemp_v3
1980-06-30,,0.07687740382701631,0.07687740382701631,,0.5141168050387505,0.5141168050387505
1980-07-31,,0.6604770379681534,0.6604770379681534,,0.6840864381448146,0.6840864381448146
1980-08-31,,0.05986463088834879,0.05986463088834879,,0.161608257071401,0.161608257071401
1980-09-30,,-0.14174833769677428,-0.14174833769677428,,-0.007383876647277011,-0.007383876647277011
1980-10-31,,0.13118438957955195,0.13118438957955195,,-0.055370241430437686,-0.055370241430437686
1980-11-30,,-0.08161215786803969,-0.08161215786803969,,-0.2622564682267251,-0.2622564682267251
1980-12-31,,0.4335832888673556,0.4335832888673556,,-0.09782769736270938,-0.09782769736270938
1981-01-31,,0.4043905088626926,0.4043905088626926,,0.05731201990512192,0.05731201990512192
1981-02-28,,0.17393565516798098,0.17393565516798098,,0.10327606822267459,0.10327606822267459
1981-03-31,,0.14081204501675815,0.14081204501675815,,-0.12312828332446668,-0.12312828332446668
1981-04-30,,0.11908351351005227,0.11908351351005227,,-0.2010708208965327,-0.2010708208965327
1981-05-31,,0.4399310630788756,0.4399310630788756,,-0.40659716944623736,-0.40659716944623736
1981-06-30,,0.1933932958841419,0.1933932958841419,,-0.15301099484103575,-0.15301099484103575
1981-07-31,,0.3348102154903094,0.3348102154903094,,0.3579431682648322,0.3579431682648322
1981-08-31,,-0.07705627233888197,-0.07705627233888197,,-0.35150401592290936,-0.35150401592290936
1981-09-30,,0.4010512897199183,0.4010512897199183,,-0.004184685038476935,-0.004184685038476935
1981-10-31,,-0.07877795012442496,-0.07877795012442496,,0.06939349822032219,0.06939349822032219
1981-11-30,,-0.1393839514552141,-0.1393839514552141,,0.20702845578797088,0.20702845578797088
1981-12-31,,0.10418556135250945,0.10418556135250945,,0.12111999877947506,0.12111999877947506
1982-01-31,,0.5165774177777168,0.5165774177777168,,0.5984878814042712,0.5984878814042712
1982-02-28,,0.6925495475049184,0.6925495475049184,,0.4693946892717988,0.4693946892717988
1982-03-31,,0.367123125891268,0.367123125891268,,0.314888235184424,0.314888235184424
1982-04-30,,-0.1153163002962626,-0.1153163002962626,,0.11419563934505197,0.11419563934505197
1982-05-31,,0.007744825346702125,0.007744825346702125,,0.3649706858053857,0.3649706858053857
1982-06-30,,0.21365982301403497,0.21365982301403497,,0.3674572065319348,0.3674572065319348
1982-07-31,,0.0901451046740979,0.0901451046740979,,0.2998275777280636,0.2998275777280636
1982-08-31,,0.39693333142859655,0.39693333142859655,,0.5117663719873423,0.5117663719873423
1982-09-30,,0.07758683853699332,0.07758683853699332,,0.6865675219370456,0.6865675219370456
1982-10-31,,0.3563662411978659,0.3563662411978659,,1.6237609000919049,1.6237609000919049
1982-11-30,,0.5099704741691048,0.5099704741691048,,1.5907108912722108,1.5907108912722108
1982-12-31,,0.38469546975364627,0.38469546975364627,,0.8516431038943671,0.8516431038943671
1983-01-31,,0.7539280963692486,0.7539280963692486,,0.8689187350485843,0.8689187350485843
1983-02-28,,0.7768323565616442,0.7768323565616442,,0.4108335312006684,0.4108335312006684
1983-03-31,,0.056677881401754414,0.056677881401754414,,0.30741673677221354,0.30741673677221354
1983-04-30,,0.018745786008446914,0.018745786008446914,,0.06048388880436192,0.06048388880436192
1983-05-31,,-0.17377536703420154,-0.17377536703420154,,-0.04521234723944468,-0.04521234723944468
1983-06-30,,0.4212281168081551,0.4212281168081551,,0.13711790370270774,0.13711790370270774
1983-07-31,,0.6026795792856925,0.6026795792856925,,-0.055945507928564855,-0.055945507928564855
1983-08-31,,0.416680324882906,0.416680324882906,,0.04525747707708066,0.04525747707708066
1983-09-30,,0.3562617797298133,0.3562617797298133,,-0.10758347141393147,-0.10758347141393147
1983-10-31,,-0.19981298193669572,-0.19981298193669572,,-0.20435604522106873,-0.20435604522106873
1983-11-30,,-0.15958062611087684,-0.15958062611087684,,-0.13042933563806558,-0.13042933563806558
1983-12-31,,0.22885686292918733,0.22885686292918733,,0.30672235543012066,0.30672235543012066
1984-01-31,-0.752765781447518,0.12567950879862697,-0.31354313632444547,-0.6459274992318487,0.12955042279891585,-0.25818853821646637
1984-02-29,-0.12661079342790002,0.4567256756770683,0.16505744112458412,-0.4669860824711008,0.07209106724553238,-0.19744750761278423
1984-03-31,-0.35709264034810295,0.24114067222612973,-0.057975984060986606,-0.46123840549054695,-0.19053753038861657,-0.32588796793958175
1984-04-30,-0.7280093948265014,-0.194425271816959,-0.46121733332173015,-0.5963155765064772,-0.12208425555481933,-0.3591999160306482
1984-05-31,-0.31865824978833357,0.4631874151869888,0.07226458269932762,-0.9623685625864055,-0.12323992410907807,-0.5428042433477417
1984-06-30,0.1907389617341087,0.2767327665493443,0.2337358641417265,-0.8579913433159619,0.04435094175647881,-0.4068202007797416
1984-07-31,-0.056890863941693626,0.32532883667706075,0.1342189863676836,-0.2510473189530385,-0.06857632868844336,-0.1598118238207409
1984-08-31,-0.18403104570606824,0.3273840923836213,0.07167652333877653,-0.6161197634045109,-0.14775466255932024,-0.38193721298191563
1984-09-30,-0.8179662648203401,0.30543703502121244,-0.25626461489956387,-0.2777914200786566,0.003686203922845799,-0.13705260807790537
1984-10-31,-1.0613427281598347,-0.08675233416756707,-0.5740475311637009,-0.8166364321214504,-0.038992484675289256,-0.42781445839836985
1984-11-30,-0.271281309957713,0.30493961997363184,0.01682915500795941,-0.4694459341771836,0.11275326557622677,-0.1783463343004784
1984-12-31,-0.20397093328803995,0.45112421104147316,0.1235766388767166,-0.4036119565969749,-0.036512130270597666,-0.22006204343378627
