date,MAI3,dMAI3
1980-06-06,0.018524909734076427,
1980-07-03,1.5116802954197996,0.8388138817389018
1980-08-01,0.8700649301332843,0.5637807628198841
1980-09-05,0.4078758763815978,0.1755023428468209
1980-10-03,-0.3404623163400844,-0.24381258829122504
1980-11-07,0.07272879423760803,0.14611712874059907
1980-12-05,-0.7085212057623919,-0.3004807692307689
1981-01-09,-0.1447438977990376,-0.2436888435449926
1981-02-06,0.2920505495263446,0.2199570211856307
1981-03-06,-0.29098467131562783,-0.407110516615381
1981-04-03,-0.28142193168361834,-0.27950101498498053
1981-05-08,-0.20636912541805894,0.004432060648929065
1981-06-05,0.05936710139293133,0.44752331155540204
1981-07-02,-0.32457705218473004,-0.12798138452588598
1981-08-07,-0.33055144334338527,-0.6866552877803938
1981-09-04,-0.309536802425431,0.05008923802710946
1981-10-02,-0.057242614078145314,-0.11599910704067685
1981-11-06,0.10978206745070128,0.023373844918839773
1981-12-04,-0.3010809931848893,-0.5097788409140953
1982-01-08,0.06638654331509934,-0.23703066968667763
1982-02-05,0.8659720042356401,0.1722747186747008
1982-03-05,0.5257982414771604,0.04812288664754316
1982-04-02,0.1671840157383289,-0.014428995258569915
1982-05-07,0.18547623995919194,0.07327553253877186
1982-06-04,0.40195895071435755,0.10841708544816286
1982-07-02,0.8448132843836618,0.6564082099148345
1982-08-06,0.5529466841458647,0.344001323581522
1982-09-03,0.45687323590306805,-0.03138278722185939
1982-10-08,0.9866872356837249,0.18793098069552783
1982-11-05,3.2638783557259674,1.4239539718415992
1982-12-03,0.6076159669542506,-0.6809757936360189
1983-01-07,1.2154366503988536,0.42509442833401645
1983-02-04,0.9711245416799653,0.2736765448629881
1983-03-04,0.26791691777825705,-0.045444254273928675
1983-04-01,0.10517723052148216,-0.012518437481287267
1983-05-06,-0.7085212057623923,-0.7555786897707776
1983-06-03,0.8191784594635164,0.9126877843145763
1983-07-08,-0.41247553014386873,-0.5747366528407294
1983-08-05,-0.025977990390332623,0.033520003439145005
1983-09-02,-0.039209636844721674,0.23615914377771274
1983-10-07,-0.5719891207224083,-0.5331405530713498
1983-11-04,-0.4146589203152545,-0.24176358663279765
1983-12-02,-0.08498694345476798,-0.08851666012197626
1984-01-06,-0.08699075375880232,-0.3218268338998283
1984-02-03,0.20659136887681984,0.3901495881785977
1984-03-09,-0.19797777780934597,0.08953891527972643
1984-04-06,-0.11566653616339928,0.44974149658074825
1984-05-04,-0.41203634484556756,0.21250839274197447
1984-06-01,-0.6676631584865622,-0.04716221011920907
1984-07-06,-0.6327024122309345,-0.2591611674473814
1984-08-03,-0.9064574892517262,-0.6434611547596397
1984-09-07,0.18674363533630223,0.5938780343290573
1984-10-05,-0.5637653484764504,-0.4353246245934437
1984-11-02,-0.46694544259825976,-0.03441124634532583
1984-12-07,-0.6034439051685485,-0.35746418809618863
1985-01-09,-0.3868649006875254,-0.06610333653128869
1985-02-01,-0.6694874849657803,-0.35101928781722996
1985-03-08,-0.4818746233820945,-0.0979724507890602
1985-04-05,-0.2851918859835488,0.006933302275057729
1985-05-03,0.553992113440739,1.165483975480623
1985-06-07,-0.15601467959420637,0.1339863447487679
1985-07-05,-0.36400527015540024,0.24124694725475498
1985-08-02,-0.028575472381646,0.3964580418411011
1985-09-06,0.3919212147601549,1.0679522240439534
1985-10-04,-0.5665046332116466,-0.08560055896851848
1985-11-01,-0.11888601585927845,0.5205357827790222
1985-12-06,-0.8967847463813449,-0.16499018823201528
1986-01-08,-0.5979252737076152,-0.168482283429304
1986-02-07,0.24817900689510633,0.40280645255705644
1986-03-07,-0.6147813407975916,-0.18444973714762086
1986-04-04,-0.4509020822346292,-0.10762474645723308
1986-05-02,-0.6390327475330729,0.09015886718797794
1986-06-06,-0.6288761676388458,-0.08345555405176752
1986-07-03,-0.47224232889802975,0.050916129343851035
1986-08-01,-0.2867107951893361,0.19943030936023254
1986-09-05,0.06253331583965431,0.6774588930899276
1986-10-03,-0.19880908343921208,0.1547861947511324
1986-11-07,-0.2328603783588904,0.40911109160986736
1986-12-05,-0.6629336379983587,-0.05047769303756511
1987-01-09,-0.0627000736750154,0.4208023380693026
1987-02-06,-0.17317247701005178,0.19622978244998862
1987-03-06,-0.5610967371157074,-0.012764509686508108
1987-04-03,-0.12357738086381154,0.3974767173664435
1987-05-08,-0.571498014754452,0.04714470804424642
1987-06-05,-0.36767084512783715,0.05557883295461685
1987-07-02,-0.4258330740377598,-0.018903863877829996
1987-08-07,-0.5191358530758746,-0.1443015451048204
1987-09-04,-0.5044083391038848,0.03890909913126306
1987-10-02,-0.04759926144395984,0.1837949527607832
1987-11-06,-0.9742482610802915,-0.477299066496231
1987-12-04,-0.001415876194017951,0.4032270066992492
1988-01-08,-0.1775484914658215,0.07135526212581561
1988-02-05,-0.45114985362221444,0.12083484811336237
1988-03-04,-0.47617045444370154,-0.14266057041059493
1988-04-01,-0.5965781616616436,-0.09841902844063127
1988-05-06,0.66718542639606,1.1797805399761918
1988-06-03,0.4052175258778636,0.6457552758233962
1988-07-08,-0.20509805658306682,0.5065915335554209
1988-08-05,-0.02895473749687305,0.15139717775413272
1988-09-02,0.2535638920274777,0.6094722460039053
1988-10-07,-0.4231880841078448,-0.028670712877375548
1988-11-04,-0.6025693643167567,-0.11307737181391597
1988-12-02,-0.20681473218867605,0.4499654771132283
1989-01-06,0.46027367364478416,1.1933515178414384
1989-02-03,-0.6361902626547066,-0.21654174643105906
1989-03-10,-0.4013518911355726,0.25192610522245046
1989-04-07,-0.413548533542504,0.09181729496109903
