date,credit_rating_wi,credit_rating_ni,credit_rating,gdp_wi,gdp_ni,gdp,house_mkt_wi,house_mkt_ni,house_mkt,inflation_wi,inflation_ni,inflation,monetary_wi,monetary_ni,monetary,oil_wi,oil_ni,oil,unemp_wi,unemp_ni,unemp,usd_wi,usd_ni,usd
1980-06-30,,0.06231823847112587,0.06231823847112587,,0.29081844619858743,0.29081844619858743,,0.1869547154133777,0.1869547154133777,,1.91109264644786,1.91109264644786,,1.017864561695056,1.017864561695056,,1.5164104694640632,1.5164104694640632,,1.2255920232654756,1.2255920232654756,,0.02077274615704196,0.02077274615704196
1980-07-31,,0.11439029970258525,0.11439029970258525,,0.2287805994051704,0.2287805994051704,,0.25165865934568743,0.25165865934568743,,1.830244795241364,1.830244795241364,,1.6014641958361933,1.6014641958361933,,1.7158544955387784,1.7158544955387784,,1.3955616563715396,1.3955616563715396,,0.0,0.0
1980-08-31,,0.08517887563884156,0.08517887563884156,,0.19165247018739354,0.19165247018739354,,0.10647359454855196,0.10647359454855196,,1.5332197614991483,1.5332197614991483,,1.0008517887563884,1.0008517887563884,,1.3202725724020443,1.3202725724020443,,0.873083475298126,0.873083475298126,,0.0,0.0
1980-09-30,,0.07611798287345385,0.07611798287345385,,0.2283539486203616,0.2283539486203616,,0.17126546146527116,0.17126546146527116,,1.617507136060894,1.617507136060894,,0.7992388201712655,0.7992388201712655,,1.5794481446241675,1.5794481446241675,,0.7040913415794482,0.7040913415794482,,0.019029495718363463,0.019029495718363463
1980-10-31,,0.04800768122899664,0.04800768122899664,,0.19203072491598652,0.19203072491598652,,0.25604096655464875,0.25604096655464875,,1.5682509201472241,1.5682509201472241,,1.072171547447592,1.072171547447592,,1.2001920307249163,1.2001920307249163,,0.6561049767962875,0.6561049767962875,,0.04800768122899664,0.04800768122899664
1980-11-30,,0.0390625,0.0390625,,0.13671875,0.13671875,,0.09765625,0.09765625,,1.25,1.25,,0.859375,0.859375,,0.80078125,0.80078125,,0.44921875,0.44921875,,0.0,0.0
1980-12-31,,0.14727540500736375,0.14727540500736375,,0.22091310751104565,0.22091310751104565,,0.09818360333824253,0.09818360333824253,,1.6936671575846838,1.6936671575846838,,1.3745704467353952,1.3745704467353952,,1.325478645066274,1.325478645066274,,0.6136475208640156,0.6136475208640156,,0.0,0.0
1981-01-31,,0.03843936190659236,0.03843936190659236,,0.2498558523928503,0.2498558523928503,,0.09609840476648088,0.09609840476648088,,1.55679415721699,1.55679415721699,,1.3453776667307322,1.3453776667307322,,2.21026330962906,2.21026330962906,,0.7687872381318471,0.7687872381318471,,0.0,0.0
1981-02-28,,0.06432246998284734,0.06432246998284734,,0.1500857632933105,0.1500857632933105,,0.1286449399656947,0.1286449399656947,,1.6938250428816466,1.6938250428816466,,1.1149228130360207,1.1149228130360207,,1.8653516295025727,1.8653516295025727,,0.8147512864493998,0.8147512864493998,,0.0,0.0
1981-03-31,,0.30366293414310114,0.30366293414310114,,0.17081040045549434,0.17081040045549434,,0.18978933383943816,0.18978933383943816,,2.1256405390017075,2.1256405390017075,,1.0817992028847978,1.0817992028847978,,2.2964509394572024,2.2964509394572024,,0.5883469349022584,0.5883469349022584,,0.037957866767887635,0.037957866767887635
1981-04-30,,0.07852375343541422,0.07852375343541422,,0.19630938358853556,0.19630938358853556,,0.1374165685119749,0.1374165685119749,,1.6882606988614055,1.6882606988614055,,1.060070671378092,1.060070671378092,,2.1790341578327443,2.1790341578327443,,0.5104043973301925,0.5104043973301925,,0.019630938358853555,0.019630938358853555
1981-05-31,,0.1255380200860832,0.1255380200860832,,0.2690100430416069,0.2690100430416069,,0.07173601147776182,0.07173601147776182,,1.2374461979913915,1.2374461979913915,,1.3809182209469153,1.3809182209469153,,1.8113342898134857,1.8113342898134857,,0.3048780487804878,0.3048780487804878,,0.0,0.0
1981-06-30,,0.052356020942408384,0.052356020942408384,,0.06980802792321117,0.06980802792321117,,0.13961605584642234,0.13961605584642234,,1.6055846422338569,1.6055846422338569,,1.1343804537521818,1.1343804537521818,,2.722513089005236,2.722513089005236,,0.5584642233856895,0.5584642233856895,,0.0,0.0
1981-07-31,,0.09380863039399627,0.09380863039399627,,0.3377110694183866,0.3377110694183866,,0.1876172607879925,0.1876172607879925,,2.1951219512195124,2.1951219512195124,,1.275797373358349,1.275797373358349,,2.7392120075046904,2.7392120075046904,,1.0694183864915572,1.0694183864915572,,0.075046904315197,0.075046904315197
1981-08-31,,0.05399568034557236,0.05399568034557236,,0.2879769618430525,0.2879769618430525,,0.14398848092152627,0.14398848092152627,,1.313894888408927,1.313894888408927,,0.8639308855291576,0.8639308855291576,,2.1238300935925123,2.1238300935925123,,0.35997120230381563,0.35997120230381563,,0.017998560115190784,0.017998560115190784
1981-09-30,,0.16322089227421113,0.16322089227421113,,0.2901704751541532,0.2901704751541532,,0.18135654697134568,0.18135654697134568,,1.6322089227421115,1.6322089227421115,,1.3420384475879583,1.3420384475879583,,1.9949220166848034,1.9949220166848034,,0.7072905331882482,0.7072905331882482,,0.054406964091403706,0.054406964091403706
1981-10-31,,0.01626809825931349,0.01626809825931349,,0.2928257686676428,0.2928257686676428,,0.19521717911176184,0.19521717911176184,,1.1224987798926305,1.1224987798926305,,0.8622092077436148,0.8622092077436148,,2.179925166748007,2.179925166748007,,0.7808687164470474,0.7808687164470474,,0.0,0.0
