date,credit_rating_ni,gdp_ni,house_mkt_ni,inflation_ni,monetary_ni,oil_ni,unemp_ni,usd_ni,credit_rating_wi,gdp_wi,house_mkt_wi,inflation_wi,monetary_wi,oil_wi,unemp_wi,usd_wi
1980-06-01,0.0,0.0,0.8724553385957623,7.415870378063978,2.181138346489406,1.7449106771915246,4.7985043622766925,0.4362276692978812,,,,,,,,
1980-06-02,0.4362276692978812,0.4362276692978812,0.0,1.7449106771915246,1.3086830078936431,1.3086830078936431,1.3086830078936431,0.0,,,,,,,,
1980-06-03,0.4362276692978812,0.4362276692978812,0.0,1.3086830078936431,1.3086830078936431,1.3086830078936431,0.0,0.0,,,,,,,,
1980-06-04,0.0,0.4362276692978812,0.0,2.181138346489406,0.4362276692978812,2.6173660157872867,2.181138346489406,0.0,,,,,,,,
1980-06-05,0.0,0.0,0.8724553385957623,2.181138346489406,1.3086830078936431,2.181138346489406,0.0,0.0,,,,,,,,
1980-06-06,0.0,0.4362276692978812,0.0,2.181138346489406,0.8724553385957623,0.4362276692978812,0.4362276692978812,0.0,,,,,,,,
1980-06-07,0.0,0.0,0.0,3.0535936850851684,1.3086830078936431,1.7449106771915246,2.181138346489406,0.0,,,,,,,,
1980-06-08,0.0,1.7449106771915246,0.8724553385957623,5.670959700872455,2.181138346489406,1.7449106771915246,3.9260490236809296,0.0,,,,,,,,
1980-06-09,0.0,0.4362276692978812,0.0,3.0535936850851684,0.8724553385957623,1.7449106771915246,2.6173660157872867,0.0,,,,,,,,
1980-06-10,0.0,0.4362276692978812,0.4362276692978812,2.6173660157872867,2.181138346489406,1.7449106771915246,0.4362276692978812,0.0,,,,,,,,
1980-06-11,0.0,0.0,0.4362276692978812,1.3086830078936431,1.3086830078936431,3.0535936850851684,1.3086830078936431,0.0,,,,,,,,
1980-06-12,0.4362276692978812,0.0,0.0,1.7449106771915246,1.3086830078936431,2.181138346489406,2.181138346489406,0.0,,,,,,,,
1980-06-13,0.0,0.0,0.4362276692978812,2.6173660157872867,2.181138346489406,1.3086830078936431,0.4362276692978812,0.0,,,,,,,,
1980-06-14,0.0,0.4362276692978812,0.0,0.8724553385957623,2.181138346489406,1.3086830078936431,0.8724553385957623,0.0,,,,,,,,
1980-06-15,0.0,1.3086830078936431,0.8724553385957623,3.489821354383049,1.3086830078936431,1.7449106771915246,3.0535936850851684,0.0,,,,,,,,
1980-06-16,0.0,0.4362276692978812,0.4362276692978812,2.181138346489406,1.7449106771915246,0.4362276692978812,1.7449106771915246,0.0,,,,,,,,
1980-06-17,0.0,0.0,0.0,0.8724553385957623,0.8724553385957623,1.7449106771915246,0.8724553385957623,0.0,,,,,,,,
1980-06-18,0.0,1.3086830078936431,0.4362276692978812,2.181138346489406,0.4362276692978812,0.4362276692978812,0.4362276692978812,0.0,,,,,,,,
1980-06-19,0.0,0.8724553385957623,0.4362276692978812,1.7449106771915246,0.0,2.181138346489406,1.7449106771915246,0.0,,,,,,,,
1980-06-20,0.0,0.0,0.0,1.3086830078936431,0.8724553385957623,2.6173660157872867,1.3086830078936431,0.0,,,,,,,,
1980-06-21,0.0,0.0,0.4362276692978812,1.3086830078936431,0.4362276692978812,0.8724553385957623,0.4362276692978812,0.0,,,,,,,,
1980-06-22,0.0,3.489821354383049,0.4362276692978812,7.415870378063978,0.8724553385957623,0.8724553385957623,3.489821354383049,0.0,,,,,,,,
1980-06-23,0.0,0.0,0.0,2.6173660157872867,0.8724553385957623,1.7449106771915246,1.3086830078936431,0.0,,,,,,,,
1980-06-24,0.0,0.4362276692978812,0.0,2.6173660157872867,1.7449106771915246,1.3086830078936431,2.181138346489406,0.0,,,,,,,,
1980-06-25,0.0,0.4362276692978812,0.0,2.6173660157872867,0.0,0.8724553385957623,1.7449106771915246,0.0,,,,,,,,
1980-06-26,0.0,0.0,0.0,0.4362276692978812,0.0,0.4362276692978812,0.8724553385957623,0.4362276692978812,,,,,,,,
1980-06-27,0.0,0.0,0.4362276692978812,1.3086830078936431,1.3086830078936431,1.3086830078936431,1.7449106771915246,0.0,,,,,,,,
1980-06-28,0.0,0.0,0.0,1.7449106771915246,2.181138346489406,0.8724553385957623,0.8724553385957623,0.0,,,,,,,,
1980-06-29,0.4362276692978812,0.8724553385957623,0.4362276692978812,4.362276692978812,0.8724553385957623,0.0,3.9260490236809296,0.0,,,,,,,,
1980-06-30,0.0,0.0,0.0,1.3086830078936431,0.4362276692978812,0.8724553385957623,0.8724553385957623,0.0,,,,,,,,
1980-07-01,0.0,0.0,0.0,0.0,1.052390757263784,2.104781514527568,2.104781514527568,0.0,,,,,,,,
1980-07-02,0.526195378631892,0.0,0.526195378631892,2.104781514527568,0.526195378631892,3.157172271791352,3.6833676504232438,0.0,,,,,,,,
1980-07-03,0.0,0.0,0.0,1.578586135895676,0.526195378631892,1.578586135895676,0.0,0.0,,,,,,,,
1980-07-04,0.0,0.526195378631892,1.052390757263784,2.104781514527568,4.735758407687028,1.578586135895676,3.157172271791352,0.0,,,,,,,,
1980-07-05,0.0,0.0,0.526195378631892,2.104781514527568,0.526195378631892,0.526195378631892,0.0,0.0,,,,,,,,
1980-07-06,0.526195378631892,0.0,2.104781514527568,7.3667353008464875,2.6309768931594597,0.526195378631892,5.261953786318919,0.0,,,,,,,,
1980-07-07,0.0,0.526195378631892,0.526195378631892,2.104781514527568,2.104781514527568,2.104781514527568,1.052390757263784,0.0,,,,,,,,
1980-07-08,0.0,0.526195378631892,0.0,3.157172271791352,2.6309768931594597,1.578586135895676,3.157172271791352,0.0,,,,,,,,
